NEON_Site,Latitude,Longitude,Elevation (m), Mean Temp (deg C),Mean Ann. Precip (mm),Mean Canopy Height (m),Beetles-Richness (July 2018),Mammal-Richness (July 2018),Bird-Richness (July 2018)
ABBY,45.76243,-122.33033,363,8.0,2530, ,14.0,11.0,21.0
ARIK,39.75825,-102.4471,1213,11.0,449, ,,,
BART,44.06388,-71.28730999999999,232,8.0,1056,23,14.0,9.0,
BLWA,32.54153,-87.79815,22,18.0,1290, ,,,
BLDE,44.950109999999995,-110.58715,2053,0.2,509, ,,,
BLAN,39.06026,-78.07164,183,12.0,950,1,32.0,3.0,
BLUE,34.44422,-96.6242,289,16.0,980, ,,,
CARI,65.15306,-147.50246,263,-1.0,399, ,,,
BONA,65.15401,-147.50258,263,-1.0,399,,8.0,3.0,23.0
CPER,40.815529999999995,-104.7456,1648,8.0,370,0.4,17.0,5.0,
COMO,40.03496,-105.54486999999999,3167,-0.3,758, ,,,
CRAM,46.21111,-89.47825,518,3.0,854, ,,,
DCFS,47.16165,-99.10656,559,5.0,490,0.4,16.0,7.0,61.0
DELA,32.54172,-87.80389,22,18.0,1290,30,14.0,2.0,
DEJU,63.881119999999996,-145.75136,529,-2.0,300,10,9.0,,
DSNY,28.125040000000002,-81.4362,15,22.0,1150,1.5,7.0,,
FLNT,31.18542,-84.4374,45,19.5,1307, ,,,
GRSM,35.688959999999994,-83.50195,579,13.0,1396,30,20.0,,
GUAN,17.96955,-66.8687,143,25.0,1168,10,,,
HARV,42.5369,-72.17266,351,8.0,967,26,23.0,10.0,
HEAL,63.875690000000006,-149.21334,705,-4.0,320,0.3,5.0,2.0,16.0
JERC,31.194840000000003,-84.46861,44,19.5,1307,27,7.0,,
JORN,32.59068,-106.84253999999999,1329,17.0,173,0.4,3.0,7.0,
KING,39.105059999999995,-96.60336,366,12.0,860, ,,,
OAES,35.41059,-99.05879,516,15.0,670,1,7.0,7.0,
KONZ,39.100770000000004,-96.56309,381,12.0,860,1.5,11.0,6.0,
KONA,39.110440000000004,-96.61295,340,12.0,860,1,23.0,,
LAJA,18.02125,-67.0769,24,25.0,1168,0.4,3.0,,
CLBJ,33.40123,-97.57,259,18.0,840,13,7.0,,
LECO,35.69043,-83.50379000000001,579,13.4,1396, ,,,
LENO,31.85388,-88.16122,20,18.0,1429,35,15.0,1.0,
LEWI,39.09564,-77.98321999999999,152,12.0,950, ,,,
LIRO,45.998269,-89.704767,502,4.4,793, ,,,
HOPB,42.471790000000006,-72.32963000000001,260,8.0,967, ,,,
TEAK,37.005829999999996,-119.00601999999999,2147,7.0,941,35,,,
TOMB,31.8521,-88.16107,20,18.0,1429, ,,,
MART,45.79125,-121.93196,434,8.0,2530, ,,,
MAYF,32.95966,-87.40813,96,17.0,1350, ,,,
MCDI,38.94428,-96.44197,396,12.0,860, ,,,
MCRA,44.2596,-122.16555,833,10.0,1750, ,,,
MOAB,38.248329999999996,-109.38826999999999,1767,11.0,200,0.2,7.0,6.0,
MLBS,37.37828,-80.52484,1126,13.0,1030,18,23.0,8.0,
NIWO,40.05425,-105.58237,3513,0.0,758,0.2,15.0,5.0,39.0
STER,40.4619,-103.0293,1364,8.0,370,1,20.0,,
NOGP,46.76972,-100.91535,578,5.0,400,0.4,35.0,6.0,64.0
ORNL,35.96412,-84.2826,334,15.0,1222,28,25.0,6.0,
OKSR,68.66975,-149.14302,836,-4.0,331, ,,,
ONAQ,40.17759,-112.45244,1685,9.0,388,1.2,5.0,7.0,
OSBS,29.68927,-81.99343,45,20.0,1290,23,4.0,5.0,
BARC,29.676470000000002,-82.00909,32,20.0,1290, ,,,
SUGG,29.68705,-82.01616999999999,32,20.0,1290, ,,,
