 ,Latitude,Longitude,Elevation (m), Mean Temp (deg C),Mean Ann. Precip (mm),Mean Canopy Height (m),Mammal-Richness 2013-06,Mammal-Richness 2013-07,Mammal-Richness 2013-08,Mammal-Richness 2013-09,Mammal-Richness 2013-10,Mammal-Richness 2014-04,Mammal-Richness 2014-05,Mammal-Richness 2014-06,Mammal-Richness 2014-07,Mammal-Richness 2014-08,Mammal-Richness 2014-09,Mammal-Richness 2014-10,Mammal-Richness 2015-03,Mammal-Richness 2015-04,Mammal-Richness 2015-05,Mammal-Richness 2015-06,Mammal-Richness 2015-07,Mammal-Richness 2015-08,Mammal-Richness 2015-09,Mammal-Richness 2015-10,Mammal-Richness 2016-03,Mammal-Richness 2016-04,Mammal-Richness 2016-05,Mammal-Richness 2016-06,Mammal-Richness 2016-07,Mammal-Richness 2016-08,Mammal-Richness 2016-09,Mammal-Richness 2016-10,Mammal-Richness 2016-11,Mammal-Richness 2016-12,Mammal-Richness 2017-01,Mammal-Richness 2017-02,Mammal-Richness 2017-03,Mammal-Richness 2017-04,Mammal-Richness 2017-05,Mammal-Richness 2017-06,Mammal-Richness 2017-07,Mammal-Richness 2017-08,Mammal-Richness 2017-09,Mammal-Richness 2017-10,Mammal-Richness 2017-11,Mammal-Richness 2017-12,Mammal-Richness 2018-01,Mammal-Richness 2018-02,Mammal-Richness 2018-03,Mammal-Richness 2018-04,Mammal-Richness 2018-05,Mammal-Richness 2018-06,Mammal-Richness 2018-07,Mammal-Richness 2018-08,Mammal-Richness 2018-09,Mammal-Richness 2018-10,Mammal-Richness 2018-11,Mammal-Richness 2018-12,Mammal-Richness 2019-02,Mammal-Richness 2019-03,Mammal-Richness 2019-04,Mammal-Richness 2019-05,Mammal-Richness 2019-06,Mammal-Richness 2019-07,Mammal-Richness 2019-08,Mammal-Richness 2019-09,Mammal-Richness 2019-10,Mammal-Richness 2019-11,Bird-Richness 2013-06,Bird-Richness 2015-05,Bird-Richness 2015-06,Bird-Richness 2015-07,Bird-Richness 2016-05,Bird-Richness 2016-06,Bird-Richness 2016-07,Bird-Richness 2017-04,Bird-Richness 2017-05,Bird-Richness 2017-06,Bird-Richness 2017-07,Bird-Richness 2018-04,Bird-Richness 2018-05,Bird-Richness 2018-06,Bird-Richness 2018-07,Bird-Richness 2019-04,Bird-Richness 2019-05,Bird-Richness 2019-06,Bird-Richness 2019-07,Beetles-Richness 2013-07,Beetles-Richness 2013-08,Beetles-Richness 2013-09,Beetles-Richness 2013-10,Beetles-Richness 2014-03,Beetles-Richness 2014-04,Beetles-Richness 2014-05,Beetles-Richness 2014-06,Beetles-Richness 2014-07,Beetles-Richness 2014-08,Beetles-Richness 2014-09,Beetles-Richness 2014-10,Beetles-Richness 2014-11,Beetles-Richness 2015-02,Beetles-Richness 2015-04,Beetles-Richness 2015-05,Beetles-Richness 2015-06,Beetles-Richness 2015-07,Beetles-Richness 2015-08,Beetles-Richness 2015-09,Beetles-Richness 2015-10,Beetles-Richness 2015-11,Beetles-Richness 2015-12,Beetles-Richness 2016-03,Beetles-Richness 2016-04,Beetles-Richness 2016-05,Beetles-Richness 2016-06,Beetles-Richness 2016-07,Beetles-Richness 2016-08,Beetles-Richness 2016-09,Beetles-Richness 2016-10,Beetles-Richness 2016-11,Beetles-Richness 2016-12,Beetles-Richness 2017-01,Beetles-Richness 2017-02,Beetles-Richness 2017-03,Beetles-Richness 2017-04,Beetles-Richness 2017-05,Beetles-Richness 2017-06,Beetles-Richness 2017-07,Beetles-Richness 2017-08,Beetles-Richness 2017-09,Beetles-Richness 2017-10,Beetles-Richness 2017-11,Beetles-Richness 2017-12,Beetles-Richness 2018-01,Beetles-Richness 2018-02,Beetles-Richness 2018-03,Beetles-Richness 2018-04,Beetles-Richness 2018-05,Beetles-Richness 2018-06,Beetles-Richness 2018-07,Beetles-Richness 2018-08,Beetles-Richness 2018-09,Beetles-Richness 2018-10,Beetles-Richness 2018-11,Beetles-Richness 2018-12,Beetles-Richness 2019-01,Beetles-Richness 2019-02,Beetles-Richness 2019-03,Beetles-Richness 2019-04,Beetles-Richness 2019-05,Beetles-Richness 2019-06,Beetles-Richness 2019-07,Beetles-Richness 2019-08,Beetles-Richness 2019-09,Beetles-Richness 2019-10,Beetles-Richness 2019-11
ABBY,45.76243,-122.33033,363,8,2530, ,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,9,6,10,13,12,,,,,,,,,,9,11,13,10,,,,,,,,9,11,11,11,,,,,,,,,,,45,41,,,,43,21,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,28,22,20,16,18,,,,,,,,24,15,14,11,17,,,,,,,9,22,20,12,13,11,,
ARIK,39.75825,-102.4471,1213,11,449, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BART,44.06388,-71.28731,232,8,1056,23,,,,,,,6,9,6,8,,9,,,,5,9,,8,5,,,6,,7,,7,7,,,,,,,6,10,8,,5,,,,,,,,,8,9,6,8,,,,,,,,6,5,9,6,,,,,40,,,38,,,,34,,,,36,,,,43,,,,,,,,,6,9,8,8,,,,,,17,18,12,13,,,,,,9,17,16,17,12,,,,,,,,12,21,20,15,14,,,,,,,,13,17,15,13,12,,,,,,,,1,1,3,2,1,2,
BLWA,32.54153,-87.79815,22,18,1290, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLDE,44.95011,-110.58715,2053,0.2,509, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLAN,39.06026,-78.07164,183,12,950,1,,,,,,,,,,,,,,,3,,4,,3,4,,2,,6,,4,4,,,,,,4,,7,,6,,7,,,,,,,2,,2,3,,4,,,,,,2,,6,6,6,,,,,,,,,,,,21,48,,,42,42,,,50,43,,,,,,,,,,,,,,,,,21,30,21,30,19,,,,,18,24,22,25,20,17,,,,,,,22,25,32,35,21,25,,,,,,2,13,20,28,34,26,20,,,,,,7,12,1,0,1,0,,,
BLUE,34.44422,-96.6242,289,16,980, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARI,65.15306,-147.50246,263,-1,399, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BONA,65.15401,-147.50258,263,-1,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,7,,,,,,,,,,,3,4,4,,,,,,,,,6,5,3,,,,,,,,,,,,25,,,,21,23,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,,,,,,,,,,4,9,0,,,,,,,,,,0,0,0,,,
CPER,40.81553,-104.7456,1648,8,370,0.4,,1,2,3,,1,9,0,6,11,7,,,9,10,11,10,9,8,10,,,3,9,5,5,5,6,,,,,,2,3,4,3,2,2,,,,,,,4,6,7,5,7,5,,,,,,2,6,6,5,4,6,,,34,40,,,34,,,,28,11,,,40,,,,,22,,3,1,1,2,,,,7,7,8,9,,,,,8,13,18,24,17,,,,,,15,23,21,19,19,,,,,,,16,16,15,14,22,16,,,,,,,9,15,20,18,17,7,,,,,,,10,16,9,0,1,1,1,
